plex,TechRepMixture,fraction,run,Has Tech Reps,data_type,data_file
TMTb,1,01,NASA_Flies_TMTB_20200104_Fr01,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr01.mzML
TMTb,1,02,NASA_Flies_TMTB_20200104_Fr02,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr02.mzML
TMTb,1,03,NASA_Flies_TMTB_20200104_Fr03,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr03.mzML
TMTb,1,04,NASA_Flies_TMTB_20200104_Fr04,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr04.mzML
TMTb,1,05,NASA_Flies_TMTB_20200104_Fr05,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr05.mzML
TMTb,1,06,NASA_Flies_TMTB_20200104_Fr06,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr06.mzML
TMTb,1,07,NASA_Flies_TMTB_20200104_Fr07,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr07.mzML
TMTb,1,08,NASA_Flies_TMTB_20200104_Fr08,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr08.mzML
TMTb,1,09,NASA_Flies_TMTB_20200104_Fr09,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr09.mzML
TMTb,1,10,NASA_Flies_TMTB_20200104_Fr10,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr10.mzML
TMTb,1,11,NASA_Flies_TMTB_20200104_Fr11,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr11.mzML
TMTb,1,12,NASA_Flies_TMTB_20200104_Fr12,FALSE,DDA,/path/to/NASA_Flies_TMTB_20200104_Fr12.mzML
TMTc,1,00,NASA_Flies_TMTC_20200109_Fr00,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr00.mzML
TMTc,1,01,NASA_Flies_TMTC_20200109_Fr01,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr01.mzML
TMTc,1,02,NASA_Flies_TMTC_20200109_Fr02,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr02.mzML
TMTc,1,03,NASA_Flies_TMTC_20200109_Fr03,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr03.mzML
TMTc,1,04,NASA_Flies_TMTC_20200109_Fr04,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr04.mzML
TMTc,1,05,NASA_Flies_TMTC_20200109_Fr05,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr05.mzML
TMTc,1,06,NASA_Flies_TMTC_20200109_Fr06,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr06.mzML
TMTc,1,07,NASA_Flies_TMTC_20200109_Fr07,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr07.mzML
TMTc,1,08,NASA_Flies_TMTC_20200109_Fr08,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr08.mzML
TMTc,1,09,NASA_Flies_TMTC_20200109_Fr09,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr09.mzML
TMTc,1,10,NASA_Flies_TMTC_20200109_Fr10,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr10.mzML
TMTc,1,11,NASA_Flies_TMTC_20200109_Fr11,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr11.mzML
TMTc,1,12,NASA_Flies_TMTC_20200109_Fr12,FALSE,DDA,/path/to/NASA_Flies_TMTC_20200109_Fr12.mzML
