name,species,strain,ensemblVersion,ref_source,fasta,gtf,taxon,bioconductor_annotations,custom_annotations,genelab_annots_link,genelab_annots_info_link,uniprot_id,proteome,proteome_info
MOUSE,Mus musculus,,112,ensembl,https://ftp.ensembl.org/pub/release-112/fasta/mus_musculus/dna/Mus_musculus.GRCm39.dna.primary_assembly.fa.gz,https://ftp.ensembl.org/pub/release-112/gtf/mus_musculus/Mus_musculus.GRCm39.112.gtf.gz,10090,org.Mm.eg.db,,https://figshare.com/ndownloader/files/48354460,https://figshare.com/ndownloader/files/48354457,UP000000589,https://figshare.com/ndownloader/files/66364922,https://figshare.com/ndownloader/files/66364916
,Mycobacterium marinum,M,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/345/GCF_000018345.1_ASM1834v1/GCF_000018345.1_ASM1834v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/345/GCF_000018345.1_ASM1834v1/GCF_000018345.1_ASM1834v1_genomic.gtf.gz,216594,,,https://figshare.com/ndownloader/files/49061260,https://figshare.com/ndownloader/files/49061263,UP000001190,https://figshare.com/ndownloader/files/66364973,https://figshare.com/ndownloader/files/66364970
ORYSJ,Oryza sativa,Japonica,59,ensembl_plants,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-59/fasta/oryza_sativa/dna/Oryza_sativa.IRGSP-1.0.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-59/gtf/oryza_sativa/Oryza_sativa.IRGSP-1.0.59.gtf.gz,39947,,,https://figshare.com/ndownloader/files/48354451,https://figshare.com/ndownloader/files/48354454,UP000059680,https://figshare.com/ndownloader/files/66365078,https://figshare.com/ndownloader/files/66365054
ORYLA,Oryzias latipes,,112,ensembl,http://ftp.ensembl.org/pub/release-112/fasta/oryzias_latipes/dna/Oryzias_latipes.ASM223467v1.dna.toplevel.fa.gz,http://ftp.ensembl.org/pub/release-112/gtf/oryzias_latipes/Oryzias_latipes.ASM223467v1.112.gtf.gz,8090,,org.Olatipes.eg.db,https://figshare.com/ndownloader/files/48354463,https://figshare.com/ndownloader/files/48354466,UP000001038,https://figshare.com/ndownloader/files/66364994,https://figshare.com/ndownloader/files/66364964
,Pseudomonas aeruginosa,UCBPP-PA14,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/625/GCF_000014625.1_ASM1462v1/GCF_000014625.1_ASM1462v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/625/GCF_000014625.1_ASM1462v1/GCF_000014625.1_ASM1462v1_genomic.gtf.gz,208963,,,https://figshare.com/ndownloader/files/49061266,https://figshare.com/ndownloader/files/49061269,UP000000653,https://figshare.com/ndownloader/files/66364952,https://figshare.com/ndownloader/files/66364949
RAT,Rattus norvegicus,,112,ensembl,http://ftp.ensembl.org/pub/release-112/fasta/rattus_norvegicus/dna/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fa.gz,http://ftp.ensembl.org/pub/release-112/gtf/rattus_norvegicus/Rattus_norvegicus.mRatBN7.2.112.gtf.gz,10116,org.Rn.eg.db,,https://figshare.com/ndownloader/files/48354472,https://figshare.com/ndownloader/files/48354475,UP000002494,https://figshare.com/ndownloader/files/66365036,https://figshare.com/ndownloader/files/66365012
YEAST,Saccharomyces cerevisiae,S288C,112,ensembl,http://ftp.ensembl.org/pub/release-112/fasta/saccharomyces_cerevisiae/dna/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz,http://ftp.ensembl.org/pub/release-112/gtf/saccharomyces_cerevisiae/Saccharomyces_cerevisiae.R64-1-1.112.gtf.gz,559292,org.Sc.sgd.db,,https://figshare.com/ndownloader/files/48354469,https://figshare.com/ndownloader/files/48354478,UP000002311,https://figshare.com/ndownloader/files/66365000,https://figshare.com/ndownloader/files/66364997
SALTY,Salmonella enterica,serovar Typhimurium str. LT2,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2/GCF_000006945.2_ASM694v2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2/GCF_000006945.2_ASM694v2_genomic.gtf.gz,99287,,org.SentericaserovarTyphimuriumstrLT2.eg.db,https://figshare.com/ndownloader/files/49061272,https://figshare.com/ndownloader/files/49061275,UP000001014,https://figshare.com/ndownloader/files/66364958,https://figshare.com/ndownloader/files/66364961
,Serratia liquefaciens,ATCC 27592,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/085/GCF_000422085.1_ASM42208v1/GCF_000422085.1_ASM42208v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/085/GCF_000422085.1_ASM42208v1/GCF_000422085.1_ASM42208v1_genomic.gtf.gz,1346614,,,https://figshare.com/ndownloader/files/49061278,https://figshare.com/ndownloader/files/49061281,UP000595237,https://figshare.com/ndownloader/files/66365063,https://figshare.com/ndownloader/files/66365066
STAA8,Staphylococcus aureus,UAMS-1,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/788/115/GCF_000788115.1_ASM78811v1/GCF_000788115.1_ASM78811v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/788/115/GCF_000788115.1_ASM78811v1/GCF_000788115.1_ASM78811v1_genomic.gtf.gz,1280,,,,,UP000030872,https://figshare.com/ndownloader/files/66365966,https://figshare.com/ndownloader/files/66365969
,Streptococcus mutans,UA159,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/465/GCF_000007465.2_ASM746v2/GCF_000007465.2_ASM746v2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/465/GCF_000007465.2_ASM746v2/GCF_000007465.2_ASM746v2_genomic.gtf.gz,210007,,,https://figshare.com/ndownloader/files/49061290,https://figshare.com/ndownloader/files/49061293,UP000002512,https://figshare.com/ndownloader/files/66365015,https://figshare.com/ndownloader/files/66365018
,Vibrio fischeri,ES114,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/805/GCF_000011805.1_ASM1180v1/GCF_000011805.1_ASM1180v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/805/GCF_000011805.1_ASM1180v1/GCF_000011805.1_ASM1180v1_genomic.gtf.gz,312309,,,https://figshare.com/ndownloader/files/49061296,https://figshare.com/ndownloader/files/49061299,UP000000537,https://figshare.com/ndownloader/files/66364931,https://figshare.com/ndownloader/files/66364940
ASPFU,Aspergillus fumigatus,Af293,62,ensembl_fungi,https://ftp.ensemblgenomes.ebi.ac.uk/pub/fungi/release-62/fasta/aspergillus_fumigatus/dna/Aspergillus_fumigatus.GCA000002655v1.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/fungi/release-62/gtf/aspergillus_fumigatus/Aspergillus_fumigatus.GCA000002655v1.62.gtf.gz,330879,org.AfumigatusAf293.eg.db,,,,UP000002530,https://figshare.com/ndownloader/files/66365027,https://figshare.com/ndownloader/files/66365021
,Aspergillus niger,CBS 513.88,62,ensembl_fungi,https://ftp.ensemblgenomes.ebi.ac.uk/pub/fungi/release-62/fasta/aspergillus_niger/dna/Aspergillus_niger.ASM285v2.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/fungi/release-62/gtf/aspergillus_niger/Aspergillus_niger.ASM285v2.62.gtf.gz,425011,org.Aniger.eg.db,,,,UP000006706,https://figshare.com/ndownloader/files/66365048,https://figshare.com/ndownloader/files/66365039
,Bacillus pumilus,SAFR-032,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/885/GCF_000017885.4_ASM1788v4/GCF_000017885.4_ASM1788v4_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/885/GCF_000017885.4_ASM1788v4/GCF_000017885.4_ASM1788v4_genomic.gtf.gz,315750,org.BpumilusSAFR032.eg.db,,,,UP000001355,https://figshare.com/ndownloader/files/66364979,https://figshare.com/ndownloader/files/66364982
,Daphnia magna,,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/505/GCA_001632505.1_daphmag2.4/GCA_001632505.1_daphmag2.4_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/505/GCA_001632505.1_daphmag2.4/GCA_001632505.1_daphmag2.4_genomic.gtf.gz,35525,org.Dmagna.eg.db,,,,UP000076858,https://figshare.com/ndownloader/files/66365075,https://figshare.com/ndownloader/files/66365057
,Enterobacter cloacae,ATCC 13047,59,ensembl_bacteria,https://ftp.ensemblgenomes.ebi.ac.uk/pub/bacteria/release-59/fasta/bacteria_0_collection/enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565/dna/Enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565.ASM2556v1.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/bacteria/release-59/gtf/bacteria_0_collection/enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565/Enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565.ASM2556v1.59.gtf.gz,716541,org.EcloacaeATCC13047.eg.db,,,,UP000002363,https://figshare.com/ndownloader/files/66365006,https://figshare.com/ndownloader/files/66365003
,Lolium multiflorum,,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/979/885/GCA_030979885.1_Rabiosa_unphased_assembly/GCA_030979885.1_Rabiosa_unphased_assembly_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/979/885/GCA_030979885.1_Rabiosa_unphased_assembly/GCA_030979885.1_Rabiosa_unphased_assembly_genomic.gtf.gz,4521,org.Lmultiflorum.eg.db,,,,UP001231189,https://figshare.com/ndownloader/files/66365087,https://figshare.com/ndownloader/files/66365072
,Eruca vesicaria,,,ncbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/364/175/GCA_932364175.1_Eruca_sativa/GCA_932364175.1_Eruca_sativa_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/364/175/GCA_932364175.1_Eruca_sativa/GCA_932364175.1_Eruca_sativa_genomic.gtf.gz,50452,org.Evesicaria.eg.db,,,,UP001642260,https://figshare.com/ndownloader/files/66365084,https://figshare.com/ndownloader/files/66365081
